,Percentage of boys who agreed/strongly agreed with the following:,,,,,,,,,,,,Percentage of girls who agreed/strongly agreed with the following:,,,,,,,,,,,,Gender difference in the percentage of students who agreed/strongly agreed with the following: (B-G):,,,,,,,,,,,,Percentage of socio-economically disadvantaged1 students who agreed/strongly agreed with the following:,,,,,,,,,,,,Percentage of socio-economically advantaged2 students who agreed/strongly agreed with the following:,,,,,,,,,,,,Socio-economic disparity in the percentage of students who agreed/strongly agreed with the following (advantaged - disadvantaged):,,,,,,,,,,,
,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,
,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.
OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,56.6,-0.9,88.2,-0.7,75.2,-1,78.3,-0.8,46.2,-1.2,88.7,-0.7,63.5,-1,91.8,-0.6,78.2,-0.8,65.5,-1.1,47.5,-1.1,89.8,-0.6,-6.9,-1.3,-3.6,-0.7,-3,-1.2,12.8,-1.5,-1.3,-1.7,-1.1,-0.9,57.9,-1.4,87.7,-1,74.5,-1.4,71.2,-1.4,51.4,-1.4,87.7,-1,61.7,-1.6,92.7,-0.8,78,-1.2,73,-1.2,41.9,-1.3,91.4,-0.8,3.8,-2.2,4.9,-1.4,3.5,-1.7,1.8,-1.9,-9.5,-2.1,3.6,-1.3
Japan,49.5,-1,76.9,-1.1,79,-0.9,38.6,-0.9,46.1,-1.1,74.8,-0.9,54.5,-1,80.2,-0.9,84.8,-0.7,26,-0.8,51.1,-1,73,-1,-5.1,-1.3,-3.4,-1.3,-5.8,-1.1,12.6,-1.1,-5,-1.2,1.8,-1.1,50.3,-1.6,69.2,-1.4,76,-1.3,29.1,-1.2,48.1,-1.4,68.8,-1.3,51.5,-1.3,86.7,-1,85.9,-1,33.9,-1.2,49.7,-1.4,77.7,-1.2,1.2,-2.1,17.6,-1.3,9.9,-1.6,4.9,-1.7,1.6,-1.8,8.9,-1.7
Korea,52.9,-1.1,71.4,-1.2,77.4,-0.9,62.5,-1.1,56.7,-1.1,84.9,-1,66.4,-1,75.5,-1.1,84.9,-0.7,61.1,-1,63.7,-1.1,85.4,-0.7,-13.5,-1.4,-4.1,-1.6,-7.5,-1.1,1.4,-1.4,-7,-1.4,-0.4,-1.1,57.9,-1.7,64.8,-1.7,76.1,-1.5,58.5,-1.3,57.1,-1.5,80.9,-1.3,58.1,-1.6,79.7,-1.1,83.2,-1,64,-1.5,62.5,-1.5,87.2,-1.1,0.2,-2.3,14.8,-1.9,7.2,-1.8,5.5,-1.7,5.4,-2,6.3,-1.6
Latvia,53.2,-1,82,-0.9,71.8,-0.9,76.8,-1.1,42.8,-1.1,85.5,-0.8,54.9,-1.3,87.6,-0.8,78.6,-1,71.4,-1.2,45,-1.2,89.5,-0.8,-1.6,-1.7,-5.6,-1.1,-6.8,-1.2,5.4,-1.7,-2.2,-1.5,-3.9,-1.2,56.1,-1.7,80.7,-1.4,77.4,-1.3,70.4,-1.5,41,-1.7,83.7,-1.3,50.8,-1.6,89.3,-0.9,73.2,-1.5,77.2,-1.3,42.6,-1.7,89.1,-1.2,-5.3,-2.5,8.6,-1.7,-4.2,-2.1,6.8,-2.1,1.6,-2.6,5.4,-1.8
Luxembourg,56.8,-1,83.8,-0.7,80.9,-0.8,70.1,-1.1,44.2,-1,87.3,-0.6,61.7,-1.1,85.7,-0.7,87.2,-0.7,54.5,-0.9,42.8,-1,87.5,-0.6,-4.9,-1.5,-2,-1,-6.3,-1.1,15.6,-1.5,1.3,-1.3,-0.2,-0.9,62.4,-1.5,80.7,-1.3,84.8,-1.1,60.5,-1.6,49.3,-1.5,84.6,-1.2,59.4,-1.5,92.3,-0.9,86.2,-1.1,62.5,-1.4,40.5,-1.3,93.4,-0.8,-3,-2,11.7,-1.6,1.4,-1.6,2,-2.1,-8.8,-2,8.8,-1.5
Mexico,47.9,-1.1,79.9,-1.1,81.2,-0.9,69.5,-0.9,47.4,-1,83.4,-0.9,53.5,-0.9,83.9,-0.8,83.4,-0.9,62.8,-1.1,49.5,-1,82.5,-0.8,-5.6,-1.2,-3.9,-1.1,-2.3,-1.2,6.7,-1.3,-2.1,-1.2,0.9,-1,39.1,-1.7,70.2,-1.6,73.4,-1.5,55.5,-1.7,40.5,-1.7,71.4,-1.8,56.5,-1.3,90.4,-1,87.3,-1.1,74.2,-1.1,51.6,-1.6,90.5,-0.7,17.4,-2,20.2,-1.8,13.9,-1.8,18.7,-2,11.1,-2.2,19,-1.9
Netherlands,51.9,-1.1,89.2,-0.6,87.6,-0.7,82.6,-0.8,58.3,-1,91.3,-0.5,53,-0.9,89.8,-0.6,92.2,-0.5,76,-1,61.1,-1,91.7,-0.6,-1.1,-1.4,-0.6,-0.8,-4.6,-0.8,6.6,-1.3,-2.8,-1.3,-0.3,-0.7,52.3,-1.5,84.7,-1,89.1,-0.9,75.5,-1.3,64.1,-1.5,90.6,-0.9,52.9,-1.6,93.1,-0.9,90.2,-0.8,79.5,-1.3,56.1,-1.8,92.3,-0.9,0.6,-2.2,8.4,-1.4,1.2,-1.1,4,-2,-7.9,-2.3,1.7,-1.3
New Zealand,64.8,-1.2,91.6,-0.7,86.8,-0.9,76.4,-1.2,57.2,-1.4,93.8,-0.6,70.6,-1,94.1,-0.5,91.2,-0.6,66.2,-1.2,61.2,-1.2,95.2,-0.6,-5.8,-1.6,-2.5,-0.9,-4.3,-1.1,10.2,-1.7,-4,-1.9,-1.4,-0.8,66.7,-1.7,88.9,-1.2,88.4,-1.1,71.3,-1.8,62,-2.1,92.2,-0.9,68.5,-1.7,95.2,-0.8,89.3,-1.1,74.2,-1.9,57.1,-1.7,95.2,-0.9,1.7,-2.6,6.3,-1.5,0.9,-1.6,2.8,-2.9,-4.8,-2.4,3,-1.4
Norway,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Poland,48.9,-1.1,85.7,-0.7,80.8,-1,69.4,-1.2,48.7,-1.1,90,-0.7,53.7,-1,88.6,-0.7,87.4,-0.8,50.8,-1.3,52,-1.1,92.7,-0.7,-4.8,-1.6,-2.9,-1,-6.6,-1.2,18.6,-1.6,-3.3,-1.5,-2.7,-0.9,48.2,-1.5,81.8,-1.3,82.9,-1.3,55.6,-1.6,52.6,-1.3,86.5,-1.2,51.6,-1.6,91,-0.8,83.9,-1.4,59.9,-1.5,46.1,-1.7,93.5,-0.9,3.4,-2.4,9.2,-1.4,1,-1.8,4.3,-2,-6.5,-2.1,7,-1.5
